nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0719756,Jean Renoir,1894.0,1979.0,"writer,director,actor","tt0031885,tt0028950,tt0043972,tt0038107","Jean Renoir (15 September 1894 – 12 February 1979) was a French film director, screenwriter, actor, producer and author. As a film director and actor, he made more than forty films from the silent era to the end of the 1960s. As an author, he wrote the definitive biography of his father, the painter, Pierre-Auguste Renoir, Renoir, My Father (1962).

In the 1930s, Renoir was associated with the Popular Front, and several of his films reflect the movement's left-wing politics and deal with social issues as well as class disparities. He was perhaps the most significant director of the poetic realism movement. The satirical comedy-drama film The Rules of the Game (1939) is often cited by critics as among the greatest films ever made; it is the only film to earn a place among the top ten films in the respected British Film Institute's Sight & Sound decennial critics' poll for every decade from the poll's inception in 1952 through the 2012 list. Other important works are Grand Illusion (1937), A Day in the Country (1946) and The River (1951).

Andrew Sarris in his influential book of film criticism The American Cinema: Directors and Directions 1929–1968 included him in the ""pantheon"" of the 14 greatest film directors who had worked in the United States.",1894-09-15,1979-02-12,11528.0,Directing,"Paris, France",2.2673,https://image.tmdb.org/t/p/w500//ePLyIIgSud1ZhhaLtj1yFo2diC4.jpg
nm0719764,Rita Renoir,1934.0,2016.0,"actress,miscellaneous","tt0064126,tt0058003,tt0072591,tt8791994",Rita Renoir was a French strip-tease-dancer and actress.,1934-01-19,2016-05-04,225926.0,Acting,"Paris, France",0.5611,https://image.tmdb.org/t/p/w500//cuVswq5cPBaXi5O1pFYDawudWId.jpg
nm0719765,Sophie Renoir,1964.0,,actress,"tt0092550,tt0409937,tt0296318,tt0175392","Sophie Renoir (born 1964) is a French actress. She is the great-granddaughter of the French Impressionist painter Pierre-Auguste Renoir (1841–1919), and daughter of the cinematographer Claude Renoir (1913–1993), granddaughter of actors Pierre Renoir and Véra Sergine, and grand-niece of film director Jean Renoir.

In 1988, she was nominated for César Award for Most Promising Actress for her part in Boyfriends and Girlfriends by Eric Rohmer.

Source: Article ""Sophie Renoir"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1964-01-01,,28627.0,Acting,"Paris, France",0.4761,https://image.tmdb.org/t/p/w500//9Os3Z8clhmIyjcvUN3LMwGvR1za.jpg
nm0720105,Pierre Repp,1909.0,1986.0,"actor,archive_footage","tt0053198,tt0137924,tt0055832,tt0197197","Pierre Repp (5 November 1909 in Saint-Pol-sur-Ternoise, France – 1 November 1986 in Plessis-Trévise, France) was a French humorist and actor. His real name was Pierre Alphonse Léon Frédéric Bouclet. On 14 August 1930, he married Ferdinande Alice Andrée Bouclet in Lille.

He is famous in France for his unique comic talent. He used to simulate stuttering while talking, in a humoristic way, trying to pronounce some words and finally replacing them by others. In a famous French sketch, ""Les crêpes"", he explained the recipe that way, with sentences like this one: ""Then you add some mamerlade, oh sorry ! Some marlamade... Uh! Me, I pour some chocolate"".

Pierre Repp appeared in many theatre plays and TV shows, but mainly in music-hall and cabarets in Paris or on tour. Pierre Repp has his place in the French cinéma story due to many ""third-roles"" in about forty films.

Source: Article ""Pierre Repp"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1909-11-05,1986-11-01,1662.0,Acting,"Saint-Pol-sur-Ternoise, Pas-de-Calais, France",0.9249,https://image.tmdb.org/t/p/w500//z25StYSagcN2f876tlgXXFEbDuN.jpg
nm0720297,Alain Resnais,1922.0,2014.0,"director,editor,writer","tt0052893,tt0054632,tt0119828,tt0081176","Alain Resnais (3 June 1922 – 1 March 2014) was a French film director and screenwriter whose career extended over more than six decades. After training as a film editor in the mid-1940s, he went on to direct a number of short films which included Night and Fog (1955), an influential documentary about the Nazi concentration camps.

Resnais began making feature films in the late 1950s and consolidated his early reputation with Hiroshima mon amour (1959), Last Year at Marienbad (1961), and Muriel (1963), all of which adopted unconventional narrative techniques to deal with themes of troubled memory and the imagined past. These films were contemporary with, and associated with, the French New Wave (la nouvelle vague), though Resnais did not regard himself as being fully part of that movement. He had closer links to the ""Left Bank"" group of authors and filmmakers who shared a commitment to modernism and an interest in left-wing politics. He also established a regular practice of working on his films in collaboration with writers previously unconnected with the cinema such as Jean Cayrol, Marguerite Duras, Alain Robbe-Grillet, Jorge Semprún and Jacques Sternberg.

In later films, Resnais moved away from the overtly political topics of some previous works and developed his interests in an interaction between cinema and other cultural forms, including theatre, music, and comic books. This led to imaginative adaptations of plays by Alan Ayckbourn, Henri Bernstein and Jean Anouilh, as well as films featuring various kinds of popular song.

His films frequently explore the relationship between consciousness, memory, and the imagination, and he was noted for devising innovative formal structures for his narratives. Throughout his career, he won many awards from international film festivals and academies.

Description above from the Wikipedia article Alain Resnais, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1922-06-03,2014-03-01,11983.0,Directing,"Vannes, Morbihan, Bretagne, France",1.942,https://image.tmdb.org/t/p/w500//q5LF4OZ7BhNH44Jb9UDg3af57R9.jpg
nm0720381,Franco Ressel,1925.0,1985.0,actor,"tt0068154,tt0055022,tt0064916,tt0122679",Franco Ressel (1925 - 1985) was an Italian actor.,1925-02-08,1985-04-30,51741.0,Acting,"Naples, Campania, Italy",1.5433,https://image.tmdb.org/t/p/w500//c0Wwk6DyCisS771oq7joIl7E3Ku.jpg
nm0720736,Germaine Reuver,1885.0,1953.0,actress,"tt0043927,tt0039592,tt0432482,tt0143975",Inconnu,1885-11-19,1953-07-22,588681.0,Acting,"Paris, France",0.2866,https://image.tmdb.org/t/p/w500//vWXdbYN45PDuSsRuIiCwCHNpdlt.jpg
nm0720938,Bernard Revon,1931.0,1997.0,"writer,producer,actor","tt0062695,tt0260595,tt0065651,tt14260024",Inconnu,1931-03-22,1997-07-14,3532.0,Writing,"Marseille, Bouches-du-Rhône, France",0.3287,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0721073,Fernando Rey,1917.0,1994.0,"actor,miscellaneous,archive_footage","tt0066491,tt0075824,tt0067116,tt0068361","Fernando Rey  (September 20, 1917 – March 9, 1994) — best known as Fernando Rey — was a Spanish film, theatre, and TV actor, who worked in both Europe and the United States. A suave, international actor best known for his roles in the films of surrealist director Luis Buñuel (Tristana, 1970; Discreet Charm of the Bourgeoisie, 1972; That Obscure Object of Desire, 1977) and as a drug lord in The French Connection (1971), he appeared in more than 150 films over half a century.

The debonair Rey was described by French Connection producer Philip D'Antoni as ""the last of the Continental guys"". He achieved his greatest notoriety after he turned 50: ""Perhaps it is a pity that my success came so late in life"", he told The Times of Madrid in 1973. ""It might have been better to have been successful while young, like El Cordobes in the bullring. Then your life is all before you to enjoy it.""",1917-09-20,1994-03-09,14821.0,Acting,"A Coruña, Galicia, Spain",3.0911,https://image.tmdb.org/t/p/w500//wBm61E3RVGaD6XShiPgBu5tEKn0.jpg
nm0721469,Dominique Reymond,1957.0,,actress,"tt6367558,tt3584576,tt0118201,tt0280343","Dominique Reymond was born on February 12, 1957 in Geneva, Switzerland. She is an actress, known for Double Lover (2017), Marie Curie, une femme sur le front (2014) and Will It Snow for Christmas? (1996).",1957-02-12,,19363.0,Acting,"Genève, Switzerland",1.3731,https://image.tmdb.org/t/p/w500//7FFvvt6s1M0R0edQLA1hjaeNCXE.jpg
nm0722657,Serge Riaboukine,1957.0,,"actor,archive_footage","tt0759606,tt0208348,tt0473753,tt7140684",Inconnu,1957-12-29,,16873.0,Acting,"Givors, Rhône, France",1.5523,https://image.tmdb.org/t/p/w500//G2Lv14IXlkK5WuwaS89XbJF5Ki.jpg
nm0722679,Daniel Rialet,1960.0,2006.0,"actor,writer","tt0096658,tt0310511,tt0101019,tt0093111",Inconnu,1960-02-20,2006-04-11,1131865.0,Acting,"Malestroit, Morbihan, France",0.1716,https://image.tmdb.org/t/p/w500//taaSuqohhBZsYxXfQJMAFBKa821.jpg
nm0722826,Catherine Ribeiro,1941.0,2024.0,"actress,music_department,miscellaneous","tt0056905,tt0121187,tt0071898,tt0057904","Catherine Ribeiro (22 September 1941 – 23 August 2024) was a French singer. Ribeiro was an experimental folk and avant-garde performer whose work has attained a cult following. With her band Catherine Ribeiro + Alpes, she released several albums in the late 1960s and early 1970s, including Catherine Ribeiro & 2Bis in 1969, No.2 in 1970, and Paix in 1972. From the late 1970s, Ribeiro also released music as a solo artist. Public figures who have expressed appreciation for her work include the musicians Kim Gordon and Julian Cope, as well as the French mathematician Cédric Villani. Ribeiro died on 23 August 2024, at the age of 82.",1941-09-22,2024-08-23,146520.0,Acting,"Lyon, Rhône, France",0.1928,https://image.tmdb.org/t/p/w500//8lRuXzxs7yEPqVyHjWZjFoylB38.jpg
nm0722909,Milton Ribeiro,1921.0,1972.0,actor,"tt0252707,tt0184357,tt0058203,tt0045595",Inconnu,1921-08-21,1972-03-16,34618.0,Acting,"Passos, Minas Gerais, Brazil",0.5118,https://image.tmdb.org/t/p/w500//1KI2Eg2vVcXcKMhddYjAeO1KaQu.jpg
nm0722976,Jacques Riberolles,1929.0,1982.0,"actor,archive_footage","tt0062873,tt0059206,tt0140357,tt0054700",Inconnu,1929-06-01,1982-08-18,87065.0,Acting,"Monaco, Monaco",0.5573,https://image.tmdb.org/t/p/w500//m4El7y16myOsizRMhemakl2hcDv.jpg
nm0723623,Claude Rich,1929.0,2017.0,"actor,writer,miscellaneous","tt0063152,tt0250223,tt0061955,tt0105448","Claude Rich (8 February 1929 – 20 July 2017) was a French stage and screen actor. He began his career in the theater before his film debut in 1955.

He married actress Catherine Renaudin on 26 June 1959. They had two daughters, Delphine (an actress) and Nathalie (a painter), and an adopted son, Remy.

In 1996, he was a member of the jury at the 46th Berlin International Film Festival.

Source: Article ""Claude Rich"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1929-02-08,2017-07-20,24903.0,Acting,"Strasbourg, Bas-Rhin, France",1.6813,https://image.tmdb.org/t/p/w500//pFKzxPQsAIbVsAhrDvp974U9Ras.jpg
nm0723796,Firmine Richard,1947.0,,"actress,soundtrack,archive_footage","tt0283832,tt18260238,tt0792965,tt0098220","Firmine Richard (born 25 September 1947 Pointe-à-Pitre, Guadeloupe, France) is a French actress. Her film credits include 8 Women and Hunting and Gathering.

In February 2009, Richard took part in demonstrations in Paris in support of the 2009 French Caribbean general strikes in Guadeloupe and Martinique.

Source: Article ""Firmine Richard"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1947-09-25,,20235.0,Acting,"Pointe-à-Pitre, Guadeloupe, France",1.3864,https://image.tmdb.org/t/p/w500//nuwDEFzuA9Lh2rCqIjfL6GL7zXC.jpg
nm0723823,Jean Richard,1921.0,2001.0,"actor,miscellaneous,writer","tt0046850,tt0047484,tt0081513,tt0060930","Jean Richards (April 18, 1921 — December 12, 2001) was a French actor.

Description above from the Wikipedia article Jean Richard, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1921-04-18,2001-12-12,147429.0,Acting,"Bessines, Deux-Sèvres, France",0.9312,https://image.tmdb.org/t/p/w500//qnNsKeI9jfSCNFsKeO3B3Yc7bTQ.jpg
nm0723827,Jean-Louis Richard,1927.0,2012.0,"actor,writer,director","tt0060390,tt0070460,tt0061955,tt0145723","Jean-Louis Richard (17 May 1927 – 3 June 2012) was a French actor, film director and scriptwriter.

Description above from the Wikipedia article Jean-Louis Richard, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1927-05-17,2012-06-03,18558.0,Acting,"Paris, France",1.0523,https://image.tmdb.org/t/p/w500//pT0vIOIESVdy1AincoVJowRksRI.jpg
nm0723865,Nathalie Richard,1963.0,,"actress,writer,soundtrack","tt1334260,tt0116650,tt0387898,tt10692788","Nathalie Richard was born in Paris, France. She received the Prix Michel Simon film prize for most promising actress/actor for her role in the 1988 Jacques Rivette film Gang of Four.

Description above from the Wikipedia article Nathalie Richard, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1963-01-06,,6019.0,Acting,"Paris, France",1.6624,https://image.tmdb.org/t/p/w500//299hXLV3NikHBGFm7J2iIO3c699.jpg
nm0724893,Guy Richer,1954.0,,"actor,archive_footage","tt0299404,tt1259692,tt0460996,tt0479259",Inconnu,,,2029219.0,Acting,Inconnu,0.4271,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0724938,Jean-François Richet,1966.0,,"director,writer,editor","tt1259014,tt0411272,tt0115079,tt5884796","Jean-Francois Richet is a French screenwriter, director, and producer, born on July 2, 1966 in Paris. He grew up in Meaux, a suburb east of Paris.",1966-07-02,,58324.0,Directing,"Paris, France",2.4431,https://image.tmdb.org/t/p/w500//21xIr5FKmP3QEyXsQodmGMszAQd.jpg
nm0725794,Stéphane Rideau,1976.0,,"actor,casting_department","tt0111019,tt0242795,tt8008948,tt0157044","Stéphane Rideau (born 25 July 1976) is a French actor born near Agen. Although intending to pursue a career in sports, he was discovered in 1992 at a rugby game and then auditioned for a role in the film Wild Reeds by André Téchiné. He was, at the time, sixteen years old.

He would later on play the role of a gay teenager in Come Undone by director Sébastien Lifshitz. Rideau has a long acting experience that includes the films Loin, Le Ventre de Juliette, Le Clan, and Le Cadeau d'Élena. He currently lives with his girlfriend Celia and his daughter.",1976-07-25,,49859.0,Acting,"Agen, Lot-et-Garonne, France",1.3525,https://image.tmdb.org/t/p/w500//jlVbjtsLzzhdPdfieUsx4FCcen8.jpg
nm0726034,Patrick Ridremont,1967.0,,"actor,writer,director","tt2435076,tt12496706,tt0286244,tt7293256","Patrick Ridremont (born 9 August 1967) is a Belgian comedian and actor. He was born in Kinshasa (formerly Léopoldville) in the Democratic Republic of the Congo.

Ridremont has three daughters with Arielle Harcq. He was married to actress Virginie Efira from 2002 to 2005.

Source: Article ""Patrick Ridremont"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1967-08-09,,145678.0,Acting,"Léopoldville, Congo",0.9162,https://image.tmdb.org/t/p/w500//kf5jF7HkTW80zbQwiNpRQ8X9760.jpg
nm0726546,Jorge Rigaud,1905.0,1984.0,"actor,archive_footage","tt0068713,tt0052136,tt0024480,tt0081947","Pedro Jorge Rigato Delissetche, known as George Rigaud or Jorge Rigaud (Buenos Aires, Argentina, August 11, 1905 - Madrid, Spain, January 17, 1984) was an Argentine actor, who also worked in American, French, Italian and Spanish cinema.",1905-08-11,1984-01-17,31695.0,Acting,"Buenos Aires City, Buenos Aires, Argentina",1.7696,https://image.tmdb.org/t/p/w500//AbLHAUcxvr84ojrVEpBSRa6JCST.jpg
